지표연도,적용기간,성별,시도,시군구,평균 기대수명,보험료1분위,보험료2분위,보험료3분위,보험료4분위,보험료5분위,기대수명격차
2021,6년,여성,서울특별시,금천구,86.89,83.53,87.30,86.70,87.76,90.39,6.86
2021,6년,전체,서울특별시,금천구,84.36,79.71,84.78,84.51,86.32,87.54,7.83
2021,6년,남성,서울특별시,영등포구,82.80,77.65,82.28,83.89,84.96,86.56,8.92
2021,6년,여성,서울특별시,영등포구,88.51,85.89,88.02,89.02,89.41,91.42,5.53
2021,6년,전체,서울특별시,영등포구,85.82,81.73,85.12,86.59,87.50,89.34,7.60
2021,6년,남성,서울특별시,동작구,83.19,79.69,82.75,83.59,84.74,85.75,6.06
2021,6년,여성,서울특별시,동작구,89.07,86.74,88.91,88.80,90.11,91.52,4.77
2021,6년,전체,서울특별시,동작구,86.27,83.28,85.94,86.40,87.65,88.61,5.33
2021,6년,남성,서울특별시,관악구,82.13,77.40,81.98,82.72,84.54,84.96,7.56
2021,6년,여성,서울특별시,관악구,87.96,84.88,87.45,88.22,89.11,91.46,6.57
2021,6년,전체,서울특별시,관악구,85.14,81.09,84.78,85.48,87.16,88.18,7.09
2021,6년,남성,서울특별시,서초구,85.12,82.50,84.53,84.99,86.48,87.50,5.00
2021,6년,여성,서울특별시,서초구,89.54,88.18,89.28,88.43,91.26,91.12,2.94
2021,6년,전체,서울특별시,서초구,87.46,85.41,86.78,87.02,88.95,89.52,4.11
2021,6년,남성,서울특별시,강남구,85.26,81.92,84.44,86.77,86.08,87.32,5.40
2021,6년,여성,서울특별시,강남구,88.83,86.27,87.61,89.18,89.65,93.42,7.16
2021,6년,전체,서울특별시,강남구,87.23,84.27,86.15,88.20,88.13,90.01,5.74
2021,6년,남성,서울특별시,송파구,84.17,80.55,83.53,84.41,86.67,86.87,6.33
2021,6년,여성,서울특별시,송파구,88.74,86.57,87.74,89.01,89.64,92.01,5.44
2021,6년,전체,서울특별시,송파구,86.69,83.67,85.78,86.94,88.56,89.73,6.06
2021,6년,남성,서울특별시,강동구,82.33,78.38,81.88,82.59,84.35,85.68,7.30
2021,6년,여성,서울특별시,강동구,87.96,86.32,87.01,87.86,88.28,91.43,5.11
2021,6년,전체,서울특별시,강동구,85.37,82.34,84.51,85.55,86.71,89.14,6.81
2021,4년,남성,부산광역시,전체,80.60,74.71,81.35,81.76,82.44,83.92,9.20
2021,4년,여성,부산광역시,전체,86.68,82.93,86.78,87.23,87.85,89.56,6.63
2021,4년,전체,부산광역시,전체,83.83,78.77,84.23,84.75,85.41,87.06,8.29
2021,6년,남성,부산광역시,중구,77.88,71.81,77.48,79.52,80.92,80.23,8.42
2021,6년,여성,부산광역시,중구,87.19,81.92,88.57,87.52,90.24,88.01,6.10
2021,6년,전체,부산광역시,중구,82.39,76.79,82.44,83.49,85.20,84.28,7.49
2021,6년,남성,부산광역시,서구,79.27,72.56,81.13,80.67,81.37,82.39,9.83
2021,6년,여성,부산광역시,서구,85.64,81.07,86.00,86.22,87.90,88.01,6.94
2021,6년,전체,부산광역시,서구,82.70,76.67,83.62,83.80,84.94,85.66,8.99
2021,6년,남성,부산광역시,동구,78.70,71.28,79.91,80.78,81.45,81.80,10.52
2021,6년,여성,부산광역시,동구,85.66,82.26,86.09,85.97,86.20,88.18,5.93
2021,6년,전체,부산광역시,동구,82.35,76.41,83.00,83.62,84.21,85.39,8.98
2021,6년,남성,부산광역시,영도구,78.36,70.34,80.12,80.76,80.67,81.89,11.55
2021,6년,여성,부산광역시,영도구,85.33,80.02,85.42,86.92,87.80,87.41,7.39
2021,6년,전체,부산광역시,영도구,81.92,74.83,82.87,84.03,84.22,84.97,10.14
2021,6년,남성,부산광역시,부산진구,79.96,73.99,81.26,80.44,82.19,83.30,9.31
2021,6년,여성,부산광역시,부산진구,86.35,82.78,86.56,86.62,87.86,88.64,5.86
2021,6년,전체,부산광역시,부산진구,83.33,78.30,84.07,83.66,85.37,86.31,8.01
2021,6년,남성,부산광역시,동래구,81.20,76.82,81.42,81.82,83.16,83.83,7.01
2021,6년,여성,부산광역시,동래구,86.95,83.78,86.97,88.19,87.73,88.83,5.05
2021,6년,전체,부산광역시,동래구,84.24,80.33,84.35,84.98,85.80,86.63,6.30
2021,6년,남성,부산광역시,남구,80.86,76.34,81.11,81.28,82.70,83.79,7.45
2021,6년,여성,부산광역시,남구,86.81,83.56,86.41,87.25,88.46,89.98,6.42
2021,6년,전체,부산광역시,남구,84.03,80.00,83.93,84.30,85.99,87.12,7.12
2021,6년,남성,부산광역시,북구,80.48,74.85,81.10,81.47,82.04,84.78,9.93
2021,6년,여성,부산광역시,북구,86.37,84.05,85.64,86.24,87.27,89.42,5.37
2021,6년,전체,부산광역시,북구,83.68,79.43,83.51,84.18,84.90,87.75,8.33
2021,6년,남성,부산광역시,해운대구,81.22,76.09,81.42,82.17,83.33,84.32,8.23
2021,6년,여성,부산광역시,해운대구,86.75,83.65,86.79,86.86,87.52,89.86,6.21
2021,6년,전체,부산광역시,해운대구,84.25,79.93,84.27,84.87,85.85,87.43,7.50
2021,6년,남성,부산광역시,사하구,79.69,73.93,80.83,80.67,81.47,82.77,8.84
2021,6년,여성,부산광역시,사하구,85.83,82.19,86.22,85.97,86.62,88.76,6.57
2021,6년,전체,부산광역시,사하구,82.90,77.94,83.68,83.44,84.28,86.26,8.32
2021,6년,남성,부산광역시,금정구,80.68,75.89,80.16,82.13,82.19,83.93,8.04
2021,6년,여성,부산광역시,금정구,87.01,83.19,87.47,87.42,88.97,89.08,5.89
2021,6년,전체,부산광역시,금정구,83.98,79.59,83.71,85.13,85.61,86.76,7.17
2021,6년,남성,부산광역시,강서구,81.04,76.35,82.20,80.98,82.74,83.63,7.27
2021,6년,여성,부산광역시,강서구,86.23,83.36,87.50,86.04,86.21,88.78,5.42
2021,6년,전체,부산광역시,강서구,83.79,79.70,85.11,83.85,84.56,86.37,6.67
2021,6년,남성,부산광역시,연제구,81.44,76.61,81.24,83.18,82.65,84.62,8.01
2021,6년,여성,부산광역시,연제구,87.14,83.72,87.05,87.33,87.85,92.33,8.61
2021,6년,전체,부산광역시,연제구,84.52,80.24,84.34,85.57,85.48,88.62,8.38
2021,6년,남성,부산광역시,수영구,81.44,76.96,81.86,82.64,82.36,84.44,7.48
2021,6년,여성,부산광역시,수영구,87.33,83.86,86.84,88.76,87.26,92.48,8.61
2021,6년,전체,부산광역시,수영구,84.52,80.48,84.54,85.79,84.89,88.42,7.95
2021,6년,남성,부산광역시,사상구,78.78,72.44,79.58,80.22,80.98,82.27,9.83
2021,6년,여성,부산광역시,사상구,85.46,82.18,85.35,85.81,86.03,89.04,6.86
2021,6년,전체,부산광역시,사상구,82.23,77.07,82.51,83.15,83.78,85.92,8.86
2021,6년,남성,부산광역시,기장군,80.05,74.64,80.30,81.54,81.51,83.20,8.57
2021,6년,여성,부산광역시,기장군,86.96,83.47,86.57,89.17,86.90,90.55,7.07
2021,6년,전체,부산광역시,기장군,83.69,78.98,83.65,85.51,84.56,86.79,7.81
2021,4년,남성,대구광역시,전체,81.07,75.24,81.61,82.57,83.26,83.89,8.65
2021,4년,여성,대구광역시,전체,87.20,83.32,87.11,87.49,88.52,90.85,7.53
2021,4년,전체,대구광역시,전체,84.38,79.26,84.55,85.41,86.29,87.55,8.29
2021,6년,남성,대구광역시,중구,80.45,74.51,81.08,82.38,82.19,83.77,9.26
2021,6년,여성,대구광역시,중구,87.20,84.07,86.67,88.01,87.77,89.90,5.82
2021,6년,전체,대구광역시,중구,84.01,79.01,84.11,85.58,85.22,87.12,8.11
2021,6년,남성,대구광역시,동구,80.19,73.93,81.13,81.79,82.90,82.76,8.83
2021,6년,여성,대구광역시,동구,86.92,83.36,86.90,87.04,87.75,90.61,7.25
2021,6년,전체,대구광역시,동구,83.75,78.48,84.20,84.74,85.75,86.75,8.27
2021,6년,남성,대구광역시,서구,78.97,73.10,79.83,80.80,81.35,81.49,8.39
2021,6년,여성,대구광역시,서구,86.00,81.99,86.17,86.46,87.98,87.84,5.85
2021,6년,전체,대구광역시,서구,82.65,77.28,83.23,83.84,85.04,85.04,7.76
2021,6년,남성,대구광역시,남구,79.99,73.87,79.89,81.10,83.15,83.10,9.23
2021,6년,여성,대구광역시,남구,86.64,82.01,86.24,87.72,86.79,92.68,10.67
2021,6년,전체,대구광역시,남구,83.53,77.92,83.27,84.69,85.33,87.66,9.75
2021,6년,남성,대구광역시,북구,80.44,75.64,80.64,81.23,82.61,83.23,7.58
2021,6년,여성,대구광역시,북구,86.51,83.21,86.49,86.84,87.91,88.63,5.42
2021,6년,전체,대구광역시,북구,83.63,79.35,83.67,84.31,85.63,86.15,6.80
2021,6년,남성,대구광역시,수성구,82.76,77.90,82.89,84.09,84.59,85.05,7.15
2021,6년,여성,대구광역시,수성구,87.81,84.69,87.45,87.70,89.29,90.93,6.24
2021,6년,전체,대구광역시,수성구,85.58,81.42,85.48,86.22,87.31,88.10,6.68
2021,6년,남성,대구광역시,달서구,80.93,75.77,81.17,81.94,82.99,83.68,7.92
2021,6년,여성,대구광역시,달서구,87.17,84.16,86.64,87.39,88.01,90.57,6.40
2021,6년,전체,대구광역시,달서구,84.33,79.97,84.16,85.00,85.97,87.39,7.42
2021,6년,남성,대구광역시,달성군,80.53,75.84,80.88,81.70,81.67,83.59,7.75
2021,6년,여성,대구광역시,달성군,86.06,82.37,86.58,86.45,87.06,89.18,6.80
2021,6년,전체,대구광역시,달성군,83.53,79.11,83.82,84.31,84.78,86.91,7.80
2021,4년,남성,인천광역시,전체,80.92,75.38,81.53,82.18,82.75,83.89,8.51
2021,4년,여성,인천광역시,전체,86.83,83.20,86.91,87.08,88.11,89.98,6.78
2021,4년,전체,인천광역시,전체,84.10,79.25,84.38,84.88,85.82,87.28,8.03
2021,6년,남성,인천광역시,중구,80.27,73.79,80.59,81.90,83.03,83.24,9.45
2021,6년,여성,인천광역시,중구,86.71,82.35,87.58,90.21,86.38,89.04,6.69
2021,6년,전체,인천광역시,중구,83.50,77.75,84.06,85.61,84.96,86.01,8.25
2021,6년,남성,인천광역시,동구,80.14,74.38,80.54,82.90,82.77,82.04,7.66
2021,6년,여성,인천광역시,동구,86.98,82.66,88.07,86.19,89.21,91.69,9.03
2021,6년,전체,인천광역시,동구,83.67,78.29,84.25,84.77,86.37,86.53,8.24
2021,6년,남성,인천광역시,남구,79.67,75.14,79.07,80.91,81.68,83.14,8.00
2021,6년,여성,인천광역시,남구,86.06,82.59,85.33,87.15,88.08,88.85,6.26
2021,6년,전체,인천광역시,남구,83.01,78.77,82.30,84.06,85.35,86.37,7.59
2021,6년,남성,인천광역시,미추홀구,80.29,73.84,81.86,81.96,81.71,83.40,9.56
2021,6년,여성,인천광역시,미추홀구,86.35,81.92,86.04,88.05,89.54,87.71,5.79
2021,6년,전체,인천광역시,미추홀구,83.54,77.85,84.09,85.09,85.71,85.99,8.14
2021,6년,남성,인천광역시,연수구,82.17,77.93,82.74,82.06,83.84,84.95,7.02
2021,6년,여성,인천광역시,연수구,86.97,84.68,86.93,86.10,89.02,88.78,4.10
2021,6년,전체,인천광역시,연수구,84.89,81.46,85.07,84.40,86.89,87.29,5.84
2021,6년,남성,인천광역시,남동구,80.60,75.45,80.75,81.88,82.25,83.95,8.50
2021,6년,여성,인천광역시,남동구,86.44,83.45,86.52,85.96,87.03,89.99,6.54
2021,6년,전체,인천광역시,남동구,83.78,79.40,83.79,84.24,85.08,87.50,8.10
2021,6년,남성,인천광역시,부평구,80.71,75.33,81.55,82.16,82.44,83.08,7.75
2021,6년,여성,인천광역시,부평구,86.60,82.85,87.14,86.96,87.54,89.39,6.54
